Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 30, 2019","1,227.00","1,236.91","1,225.32","1,228.00","1,228.00","1,403,100"
"Jul 29, 2019","1,242.50","1,248.99","1,230.20","1,241.84","1,241.84","2,069,100"
"Jul 26, 2019","1,228.00","1,268.39","1,228.00","1,245.22","1,245.22","6,060,800"
"Jul 25, 2019","1,138.95","1,143.59","1,123.71","1,135.94","1,135.94","2,738,100"
"Jul 24, 2019","1,132.62","1,145.46","1,128.51","1,139.73","1,139.73","1,359,600"
"Jul 23, 2019","1,143.45","1,148.86","1,132.85","1,148.05","1,148.05","1,032,400"
"Jul 22, 2019","1,135.47","1,140.02","1,125.21","1,139.21","1,139.21","1,445,700"
"Jul 19, 2019","1,149.32","1,151.58","1,131.25","1,131.55","1,131.55","1,159,200"
"Jul 18, 2019","1,142.00","1,148.17","1,132.86","1,147.24","1,147.24","1,273,800"
"Jul 17, 2019","1,150.92","1,158.44","1,146.62","1,146.74","1,146.74","976,900"
